,data
401061,1.0
401062,6.0
401063,8.0
401064,4.0
401178,1.0
401181,5.0
401190,3.0
401191,2.0
401192,4.0
401309,6.0
401318,4.0
401319,6.0
401321,1.0
401434,3.0
401437,7.0
401444,1.0
401446,3.0
401447,5.0
401449,6.0
401562,4.0
401565,4.0
401572,5.0
401576,3.0
401577,1.0
401690,6.0
401693,1.0
401700,9.0
401701,13.0
401702,8.0
401703,6.0
401704,6.0
401705,4.0
401830,3.0
401831,2.0
417050,1.0
417063,2.0
417064,4.0
417065,2.0
417179,4.0
417181,4.0
417182,6.0
417183,5.0
417184,1.0
417186,5.0
417191,1.0
417192,7.0
417193,1.0
417195,4.0
417308,4.0
417309,4.0
417310,6.0
417311,5.0
417323,2.0
417435,6.0
417436,9.0
417437,1.0
417438,3.0
417439,5.0
417440,3.0
417445,1.0
417446,8.0
417447,10.0
417448,5.0
417449,3.0
417450,3.0
417451,3.0
417562,4.0
417563,7.0
417564,4.0
417565,6.0
417566,7.0
417567,6.0
417568,8.0
417569,7.0
417570,2.0
417571,9.0
417572,3.0
417573,7.0
417574,8.0
417575,3.0
417577,1.0
417579,7.0
417580,4.0
417690,2.0
417691,7.0
417692,9.0
417693,6.0
417694,2.0
417696,2.0
417697,4.0
417699,5.0
417700,1.0
417702,2.0
417703,1.0
417704,6.0
417705,6.0
417706,4.0
417707,4.0
417819,3.0
417820,7.0
417821,3.0
417822,2.0
417823,3.0
417827,5.0
417828,4.0
417829,4.0
417831,6.0
417832,8.0
417836,1.0
417946,6.0
417947,5.0
417948,4.0
417949,7.0
417950,3.0
417951,2.0
417954,1.0
417955,3.0
417958,2.0
417959,6.0
417960,4.0
417961,4.0
417962,7.0
417963,4.0
418076,3.0
418078,1.0
418081,3.0
418085,4.0
418087,4.0
418088,3.0
418089,3.0
418090,4.0
418091,5.0
418092,2.0
418202,3.0
418204,3.0
418205,3.0
418208,1.0
418209,4.0
418210,4.0
418211,6.0
418215,4.0
418216,7.0
418217,2.0
418218,5.0
418219,7.0
418332,9.0
418333,3.0
418334,6.0
418335,6.0
418337,3.0
418338,4.0
418339,3.0
418346,4.0
418459,1.0
418460,1.0
418462,4.0
418463,1.0
418467,1.0
433306,3.0
433307,10.0
433308,12.0
433309,9.0
433310,8.0
433311,7.0
433312,6.0
433313,8.0
433314,6.0
433315,5.0
433316,1.0
433318,4.0
433319,1.0
433320,1.0
433321,5.0
433322,6.0
433323,5.0
433435,8.0
433436,7.0
433437,5.0
433438,7.0
433441,2.0
433444,8.0
433445,2.0
433446,3.0
433450,4.0
433451,10.0
433452,3.0
433562,3.0
433563,8.0
433564,14.0
433565,10.0
433566,3.0
433567,6.0
433568,4.0
433569,4.0
433570,5.0
433571,5.0
433575,1.0
433576,2.0
433579,3.0
433691,9.0
433692,11.0
433693,6.0
433694,7.0
433695,5.0
433696,7.0
433697,6.0
433698,9.0
433699,5.0
433702,3.0
433703,5.0
433704,4.0
433705,2.0
433707,2.0
433818,3.0
433819,9.0
433820,3.0
433821,5.0
433822,10.0
433823,6.0
433824,1.0
433825,1.0
433826,2.0
433829,4.0
433831,1.0
433832,4.0
433833,5.0
433834,7.0
433835,5.0
433836,1.0
433949,5.0
433950,11.0
433951,9.0
433956,3.0
433957,5.0
433958,3.0
433959,11.0
433960,3.0
433963,7.0
433964,4.0
434074,1.0
434075,2.0
434079,2.0
434082,5.0
434083,6.0
434084,8.0
434086,11.0
434087,5.0
434088,4.0
434089,2.0
434090,4.0
434091,5.0
434092,1.0
434094,2.0
434202,3.0
434205,8.0
434206,2.0
434211,2.0
434214,4.0
434215,3.0
434216,1.0
434219,7.0
434220,4.0
434330,2.0
434333,1.0
434339,1.0
434340,1.0
434342,3.0
434343,3.0
434346,1.0
434347,7.0
434348,4.0
434350,4.0
434460,2.0
434463,1.0
434464,3.0
434465,7.0
434466,6.0
434471,7.0
434472,6.0
434475,4.0
434477,6.0
434590,3.0
434591,3.0
434595,6.0
434598,1.0
434600,4.0
434602,3.0
434603,1.0
434604,6.0
434605,2.0
434715,1.0
434717,3.0
434718,8.0
434719,6.0
434720,4.0
434721,4.0
